min,max,mean,std,median,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,year
0.2944161593914032,21.30691909790039,3.422530137099229,3.569823942707612,2.1410436630249023,935,Antioquia,13380,Copacabana,1992
0.0,4.77734375,0.0260281404246185,0.1285360446086676,0.0,935,Antioquia,13381,Dabeiba,1992
0.0,6.140067100524902,0.223074308771514,0.4983844452068979,0.1072060689330101,935,Antioquia,13382,Don Matias,1992
0.0,3.1273601055145264,0.1360753180897834,0.3135653965703263,0.0,935,Antioquia,13383,Ebejico,1992
0.0,10.666295051574709,0.0160526361856801,0.1998337721257571,0.0,935,Antioquia,13384,El Bagre,1992
0.0,3.056640625,0.0369074559473729,0.2177791675306226,0.0,935,Antioquia,13385,Entrerrios,1992
0.1565115749835968,37.78571319580078,7.566298606178977,9.469990682178013,3.179478168487549,935,Antioquia,13386,Envigado,1992
0.0,7.046317100524902,0.2803727936835343,0.6830594555173297,0.0264592859894037,935,Antioquia,13387,Fredonia,1992
0.0,5.277262210845947,0.0225319104443178,0.1812284549622065,0.0,935,Antioquia,13388,Frontino,1992
0.0,2.113978862762451,0.0591893888608054,0.2169621499479447,0.0,935,Antioquia,13389,Giraldo,1992
